order_id,order_datetime,day_of_week,hour_of_day,is_weekend,is_peak_hour,month,restaurant_id,restaurant_locality,cuisine_type,delivery_locality,distance_km,partner_id,vehicle_type,partner_experience_months,weather_condition,order_value_inr,estimated_prep_time_min,estimated_delivery_time_min,actual_delivery_time_min,estimated_delivery_datetime,actual_delivery_datetime,delay_minutes,is_delayed,delay_category,distance_bin,experience_bin,value_bin
ORD_000013,2024-03-07 17:24:00,Thursday,17,False,False,3,REST_0149,Juhu,North indian,Ghatkopar West,11.77,DEL_0126,Bicycle,28,Cloudy,582.86,28,69,76,2024-03-07 18:33:00,2024-03-07 18:40:00,7,True,Slightly Delayed,8-12km,2+ years,₹400-600
ORD_000014,2024-07-11 12:17:00,Thursday,12,False,True,7,REST_0058,Dadar West,Desserts,Goregaon West,8.98,DEL_0251,Bike,28,Cloudy,850.77,25,57,66,2024-07-11 13:14:00,2024-07-11 13:23:00,9,True,Slightly Delayed,8-12km,2+ years,₹600+
ORD_000015,2024-02-03 12:43:00,Saturday,12,True,True,2,REST_0144,Mulund West,Japanese,Mulund East,6.16,DEL_0264,Bike,39,Clear,778.7,19,41,54,2024-02-03 13:24:00,2024-02-03 13:37:00,13,True,Moderately Delayed,5-8km,2+ years,₹600+
ORD_000016,2024-08-12 10:11:00,Monday,10,False,False,8,REST_0002,Andheri West,Korean,Powai,13.47,DEL_0123,Bike,42,Clear,886.89,28,75,72,2024-08-12 11:26:00,2024-08-12 11:23:00,-3,False,On Time,12+km,2+ years,₹600+
ORD_000017,2024-05-19 11:41:00,Sunday,11,True,False,5,REST_0057,Mulund East,Street foodSea food,Bhayandar East,13.54,DEL_0170,Bike,51,Rainy,1082.36,16,62,55,2024-05-19 12:43:00,2024-05-19 12:36:00,-7,False,On Time,12+km,2+ years,₹600+
ORD_000018,2024-10-08 09:04:00,Tuesday,9,False,False,10,REST_0055,Dadar West,Korean,Khar West,14.22,DEL_0122,Scooty,8,Rainy,1411.71,25,74,69,2024-10-08 10:18:00,2024-10-08 10:13:00,-5,False,On Time,12+km,6-12 months,₹600+
ORD_000019,2024-04-09 04:21:00,Tuesday,4,False,False,4,REST_0011,kandivali West,South indian,Kalyan East,14.81,DEL_0078,Scooty,42,Heavy rains,255.53,18,68,106,2024-04-09 05:29:00,2024-04-09 06:07:00,38,True,Severely Delayed,12+km,2+ years,₹200-400
ORD_000020,2024-01-28 20:18:00,Sunday,20,True,True,1,REST_0047,Bandra East,Lebanese,Santacruz,12.86,DEL_0009,Bike,14,Light rains,1050.25,19,63,72,2024-01-28 21:21:00,2024-01-28 21:30:00,9,True,Slightly Delayed,12+km,1-2 years,₹600+
ORD_000021,2024-10-12 21:00:00,Saturday,21,True,True,10,REST_0073,Colaba,Italian,Andheri West,8.21,DEL_0226,Bike,27,Light rains,269.5,23,52,74,2024-10-12 21:52:00,2024-10-12 22:14:00,22,True,Severely Delayed,8-12km,2+ years,₹200-400
ORD_000022,2024-07-28 08:24:00,Sunday,8,True,False,7,REST_0124,Borivali East,Japanese,Powai,9.8,DEL_0187,Scooty,15,Rainy,1494.39,15,48,42,2024-07-28 09:12:00,2024-07-28 09:06:00,-6,False,On Time,8-12km,1-2 years,₹600+
ORD_000023,2024-04-01 12:03:00,Monday,12,False,True,4,REST_0146,Matunga,Tibetan,Malad East,4.24,DEL_0229,Scooty,43,Light rains,538.54,22,38,54,2024-04-01 12:41:00,2024-04-01 12:57:00,16,True,Moderately Delayed,3-5km,2+ years,₹400-600
ORD_000024,2024-11-29 14:08:00,Friday,14,False,False,11,REST_0142,Goregaon East,American,Santacruz,4.22,DEL_0226,Bike,27,Rainy,554.07,29,45,64,2024-11-29 14:53:00,2024-11-29 15:12:00,19,True,Moderately Delayed,3-5km,2+ years,₹400-600
ORD_000025,2024-06-12 15:42:00,Wednesday,15,False,False,6,REST_0035,kandivali East,Mughlai,kandivali East,1.466220713,DEL_0188,Scooty,25,Cloudy,1133.92,29,36,28,2024-06-12 16:18:00,2024-06-12 16:10:00,-8,False,On Time,0-3km,2+ years,₹600+
ORD_000026,2024-03-22 10:54:00,Friday,10,False,False,3,REST_0070,Goregaon East,Italian,Vile Parle West,8.31,DEL_0021,Bike,51,Clear,535.81,19,48,38,2024-03-22 11:42:00,2024-03-22 11:32:00,-10,False,On Time,8-12km,2+ years,₹400-600
ORD_000027,2024-07-03 21:50:00,Wednesday,21,False,True,7,REST_0018,Mulund West,Beverages,Malad West,13.65,DEL_0085,Bike,18,Rainy,900.03,20,67,74,2024-07-03 22:57:00,2024-07-03 23:04:00,7,True,Slightly Delayed,12+km,1-2 years,₹600+
ORD_000028,2024-04-29 12:33:00,Monday,12,False,True,4,REST_0043,Goregaon East,Asian,Borivali West,13.25,DEL_0221,Scooty,14,Heavy rains,532.27,15,60,113,2024-04-29 13:33:00,2024-04-29 14:26:00,53,True,Severely Delayed,12+km,1-2 years,₹400-600
ORD_000029,2024-12-31 14:52:00,Tuesday,14,False,False,12,REST_0068,Marine lines,Japanese,Kurla West,8.36,DEL_0222,Scooty,2,Cloudy,288.86,24,53,50,2024-12-31 15:45:00,2024-12-31 15:42:00,-3,False,On Time,8-12km,0-6 months,₹200-400
ORD_000030,2024-03-28 19:39:00,Thursday,19,False,True,3,REST_0103,Bhayandar East,Asian,Borivali East,10.11,DEL_0214,Scooty,16,Light rains,1491.86,21,56,64,2024-03-28 20:35:00,2024-03-28 20:43:00,8,True,Slightly Delayed,8-12km,1-2 years,₹600+
ORD_000031,2024-11-05 18:21:00,Tuesday,18,False,False,11,REST_0077,Goregaon East,Italian,Malad East,11.55,DEL_0031,Bicycle,38,Light rains,309.29,26,66,86,2024-11-05 19:27:00,2024-11-05 19:47:00,20,True,Moderately Delayed,8-12km,2+ years,₹200-400
ORD_000032,2024-07-07 16:58:00,Sunday,16,True,False,7,REST_0123,Mulund East,South indian,CSMT,8.39,DEL_0221,Scooty,14,Light rains,852.03,27,57,68,2024-07-07 17:55:00,2024-07-07 18:06:00,11,True,Moderately Delayed,8-12km,1-2 years,₹600+
ORD_000033,2024-07-08 11:21:00,Monday,11,False,False,7,REST_0142,Goregaon East,American,Powai,9.53,DEL_0117,Bike,55,Heavy rains,1235.1,29,63,95,2024-07-08 12:24:00,2024-07-08 12:56:00,32,True,Severely Delayed,8-12km,2+ years,₹600+
ORD_000034,2024-01-25 17:54:00,Thursday,17,False,False,1,REST_0100,Andheri East,Mughlai,Andheri East,1.020335066,DEL_0249,Bike,15,Light rains,1112.17,18,23,24,2024-01-25 18:17:00,2024-01-25 18:18:00,1,True,Slightly Delayed,0-3km,1-2 years,₹600+
ORD_000035,2024-02-11 13:52:00,Sunday,13,True,True,2,REST_0056,Andheri East,Italian,Matunga,9.95,DEL_0135,Bicycle,21,Cloudy,590.06,23,58,72,2024-02-11 14:50:00,2024-02-11 15:04:00,14,True,Moderately Delayed,8-12km,1-2 years,₹400-600
ORD_000036,2024-09-27 21:35:00,Friday,21,False,True,9,REST_0141,Mulund West,Tibetan,Mulund East,12.98,DEL_0066,Bike,22,Rainy,219.49,24,69,81,2024-09-27 22:44:00,2024-09-27 22:56:00,12,True,Moderately Delayed,12+km,1-2 years,₹200-400
ORD_000037,2024-08-23 22:34:00,Friday,22,False,False,8,REST_0050,Malad West,South indian,Borivali West,13.05,DEL_0296,Scooty,55,Light rains,501.73,17,61,63,2024-08-23 23:35:00,2024-08-23 23:37:00,2,True,Slightly Delayed,12+km,2+ years,₹400-600
ORD_000038,2024-09-12 18:28:00,Thursday,18,False,False,9,REST_0062,Vile Parle East,Italian,Colaba,4.99,DEL_0023,Scooty,45,Rainy,1153.5,18,36,30,2024-09-12 19:04:00,2024-09-12 18:58:00,-6,False,On Time,3-5km,2+ years,₹600+
ORD_000039,2024-05-10 15:00:00,Friday,15,False,False,5,REST_0141,Mulund West,Tibetan,Mulund East,10.31,DEL_0094,Bicycle,26,Cloudy,857.83,24,60,76,2024-05-10 16:00:00,2024-05-10 16:16:00,16,True,Moderately Delayed,8-12km,2+ years,₹600+
ORD_000040,2024-02-10 19:53:00,Saturday,19,True,True,2,REST_0088,Mulund West,Tibetan,Kurla West,11.76,DEL_0081,Scooty,56,Cloudy,517.88,23,64,73,2024-02-10 20:57:00,2024-02-10 21:06:00,9,True,Slightly Delayed,8-12km,2+ years,₹400-600
ORD_000041,2024-04-29 04:48:00,Monday,4,False,False,4,REST_0083,Vikhroli,Beverages,kandivali East,9.58,DEL_0222,Scooty,2,Cloudy,604.88,26,60,55,2024-04-29 05:48:00,2024-04-29 05:43:00,-5,False,On Time,8-12km,0-6 months,₹600+
ORD_000042,2024-10-28 12:50:00,Monday,12,False,True,10,REST_0126,kandivali East,North indian,Vile Parle East,3.51,DEL_0162,Scooty,17,Rainy,653.81,29,43,39,2024-10-28 13:33:00,2024-10-28 13:29:00,-4,False,On Time,3-5km,1-2 years,₹600+
ORD_000043,2024-01-09 19:59:00,Tuesday,19,False,True,1,REST_0077,Goregaon East,Italian,Dadar East,12.99,DEL_0156,Bike,1,Rainy,1038.62,26,71,94,2024-01-09 21:10:00,2024-01-09 21:33:00,23,True,Severely Delayed,12+km,0-6 months,₹600+
ORD_000044,2024-05-06 12:00:00,Monday,12,False,True,5,REST_0150,Powai,North indian,Borivali East,11.08,DEL_0131,Bicycle,55,Cloudy,1229.97,22,60,80,2024-05-06 13:00:00,2024-05-06 13:20:00,20,True,Moderately Delayed,8-12km,2+ years,₹600+
ORD_000045,2024-04-19 05:49:00,Friday,5,False,False,4,REST_0079,Vile Parle West,Chinese,Matunga,12.1,DEL_0285,Scooty,29,Light rains,828.17,29,71,67,2024-04-19 07:00:00,2024-04-19 06:56:00,-4,False,On Time,12+km,2+ years,₹600+
ORD_000046,2024-02-24 13:46:00,Saturday,13,True,True,2,REST_0132,Goregaon East,Thai,Ghatkopar East,3.38,DEL_0084,Bike,31,Rainy,727.19,24,37,31,2024-02-24 14:23:00,2024-02-24 14:17:00,-6,False,On Time,3-5km,2+ years,₹600+
ORD_000047,2024-03-10 20:01:00,Sunday,20,True,True,3,REST_0146,Matunga,Tibetan,Marine lines,7.58,DEL_0074,Bicycle,25,Rainy,1291.2,22,49,76,2024-03-10 20:50:00,2024-03-10 21:17:00,27,True,Severely Delayed,5-8km,2+ years,₹600+
ORD_000048,2024-07-18 17:38:00,Thursday,17,False,False,7,REST_0031,Andheri East,Asian,Andheri East,0.637586864,DEL_0209,Bicycle,44,Rainy,871.67,23,27,21,2024-07-18 18:05:00,2024-07-18 17:59:00,-6,False,On Time,0-3km,2+ years,₹600+
ORD_000049,2024-01-29 12:28:00,Monday,12,False,True,1,REST_0015,Juhu,Italian,Andheri West,3.75,DEL_0254,Bike,50,Light rains,1228.32,27,42,52,2024-01-29 13:10:00,2024-01-29 13:20:00,10,True,Slightly Delayed,3-5km,2+ years,₹600+
ORD_000050,2024-10-19 13:12:00,Saturday,13,True,True,10,REST_0018,Mulund West,Beverages,Ghatkopar East,5.46,DEL_0192,Bike,15,Cloudy,739.3,20,40,49,2024-10-19 13:52:00,2024-10-19 14:01:00,9,True,Slightly Delayed,5-8km,1-2 years,₹600+
ORD_000051,2024-12-04 22:37:00,Wednesday,22,False,False,12,REST_0046,Kalyan West,Korean,kandivali East,4.25,DEL_0065,Bike,54,Heavy rains,1119.27,25,41,53,2024-12-04 23:18:00,2024-12-04 23:30:00,12,True,Moderately Delayed,3-5km,2+ years,₹600+
ORD_000052,2024-02-04 21:01:00,Sunday,21,True,True,2,REST_0108,Lower Parel,Beverages,Borivali West,9.64,DEL_0192,Bike,15,Cloudy,296.08,21,54,60,2024-02-04 21:55:00,2024-02-04 22:01:00,6,True,Slightly Delayed,8-12km,1-2 years,₹200-400
ORD_000053,2024-09-26 21:15:00,Thursday,21,False,True,9,REST_0101,Ghatkopar West,Korean,Khar West,5.38,DEL_0009,Bike,14,Cloudy,687.94,24,44,46,2024-09-26 21:59:00,2024-09-26 22:01:00,2,True,Slightly Delayed,5-8km,1-2 years,₹600+
ORD_000054,2024-10-11 17:53:00,Friday,17,False,False,10,REST_0041,Bhayandar East,South indian,Worli,5.74,DEL_0234,Scooty,58,Rainy,1234.82,16,36,29,2024-10-11 18:29:00,2024-10-11 18:22:00,-7,False,On Time,5-8km,2+ years,₹600+
ORD_000055,2024-12-01 07:51:00,Sunday,7,True,False,12,REST_0027,Vikhroli,Lebanese,kandivali West,11.94,DEL_0208,Scooty,31,Cloudy,498.81,17,58,48,2024-12-01 08:49:00,2024-12-01 08:39:00,-10,False,On Time,8-12km,2+ years,₹400-600
ORD_000056,2024-02-15 20:51:00,Thursday,20,False,True,2,REST_0093,Marine lines,North indian,Juhu,9.71,DEL_0176,Bike,29,Light rains,947.79,18,51,78,2024-02-15 21:42:00,2024-02-15 22:09:00,27,True,Severely Delayed,8-12km,2+ years,₹600+
ORD_000057,2024-05-22 09:27:00,Wednesday,9,False,False,5,REST_0032,Bhayandar West,Mughlai,Vile Parle East,7.71,DEL_0270,Bike,12,Cloudy,1293.39,15,41,33,2024-05-22 10:08:00,2024-05-22 10:00:00,-8,False,On Time,5-8km,6-12 months,₹600+
ORD_000058,2024-02-18 12:49:00,Sunday,12,True,True,2,REST_0017,Marine lines,Italian,CSMT,8.87,DEL_0030,Scooty,57,Heavy rains,255.73,28,60,98,2024-02-18 13:49:00,2024-02-18 14:27:00,38,True,Severely Delayed,8-12km,2+ years,₹200-400
ORD_000059,2024-12-02 04:21:00,Monday,4,False,False,12,REST_0138,Bandra East,North indian,Malad East,6.12,DEL_0151,Scooty,33,Light rains,466.22,17,38,36,2024-12-02 04:59:00,2024-12-02 04:57:00,-2,False,On Time,5-8km,2+ years,₹400-600
ORD_000060,2024-11-19 17:11:00,Tuesday,17,False,False,11,REST_0135,Mulund West,Thai,Ghatkopar West,14.93,DEL_0239,Scooty,29,Cloudy,1336.48,16,66,63,2024-11-19 18:17:00,2024-11-19 18:14:00,-3,False,On Time,12+km,2+ years,₹600+
ORD_000061,2024-06-25 15:05:00,Tuesday,15,False,False,6,REST_0004,Mulund East,American,Worli,12.22,DEL_0038,Bike,20,Cloudy,203.95,19,61,51,2024-06-25 16:06:00,2024-06-25 15:56:00,-10,False,On Time,12+km,1-2 years,₹200-400
ORD_000062,2024-05-01 10:55:00,Wednesday,10,False,False,5,REST_0124,Borivali East,Japanese,Marine lines,5.97,DEL_0120,Bicycle,14,Light rains,983.0,15,36,64,2024-05-01 11:31:00,2024-05-01 11:59:00,28,True,Severely Delayed,5-8km,1-2 years,₹600+
ORD_000063,2024-02-03 16:43:00,Saturday,16,True,False,2,REST_0086,Marine lines,Street foodSea food,Malad East,11.12,DEL_0262,Bike,45,Light rains,814.02,20,58,54,2024-02-03 17:41:00,2024-02-03 17:37:00,-4,False,On Time,8-12km,2+ years,₹600+
ORD_000064,2024-03-15 10:38:00,Friday,10,False,False,3,REST_0021,Bandra West,Lebanese,Kurla East,4.6,DEL_0061,Scooty,13,Rainy,748.05,26,43,35,2024-03-15 11:21:00,2024-03-15 11:13:00,-8,False,On Time,3-5km,1-2 years,₹600+
ORD_000065,2024-03-04 19:00:00,Monday,19,False,True,3,REST_0035,kandivali East,Mughlai,Borivali West,3.43,DEL_0253,Bike,52,Light rains,468.97,29,43,52,2024-03-04 19:43:00,2024-03-04 19:52:00,9,True,Slightly Delayed,3-5km,2+ years,₹400-600
ORD_000066,2024-10-16 03:00:00,Wednesday,3,False,False,10,REST_0126,kandivali East,North indian,Borivali East,7.92,DEL_0278,Bicycle,54,Cloudy,661.25,29,58,73,2024-10-16 03:58:00,2024-10-16 04:13:00,15,True,Moderately Delayed,5-8km,2+ years,₹600+
ORD_000067,2024-06-07 20:58:00,Friday,20,False,True,6,REST_0104,Matunga,Thai,Mulund West,13.13,DEL_0163,Bike,29,Clear,482.12,19,64,81,2024-06-07 22:02:00,2024-06-07 22:19:00,17,True,Moderately Delayed,12+km,2+ years,₹400-600
ORD_000068,2024-06-19 19:09:00,Wednesday,19,False,True,6,REST_0130,Marine lines,Tibetan,Worli,6.31,DEL_0093,Bike,16,Rainy,437.46,19,41,52,2024-06-19 19:50:00,2024-06-19 20:01:00,11,True,Moderately Delayed,5-8km,1-2 years,₹400-600
ORD_000069,2024-11-02 07:20:00,Saturday,7,True,False,11,REST_0137,Kalyan East,Beverages,Borivali East,10.45,DEL_0176,Bike,29,Cloudy,1157.12,27,64,53,2024-11-02 08:24:00,2024-11-02 08:13:00,-11,False,On Time,8-12km,2+ years,₹600+
ORD_000070,2024-05-18 13:25:00,Saturday,13,True,True,5,REST_0035,kandivali East,Mughlai,Marine lines,13.01,DEL_0189,Bike,56,Light rains,762.99,29,74,106,2024-05-18 14:39:00,2024-05-18 15:11:00,32,True,Severely Delayed,12+km,2+ years,₹600+
ORD_000071,2024-09-24 14:17:00,Tuesday,14,False,False,9,REST_0097,Bhayandar East,American,Malad East,4.83,DEL_0299,Scooty,53,Light rains,1073.02,17,34,41,2024-09-24 14:51:00,2024-09-24 14:58:00,7,True,Slightly Delayed,3-5km,2+ years,₹600+
ORD_000072,2024-07-31 08:44:00,Wednesday,8,False,False,7,REST_0006,Vile Parle East,Asian,Goregaon West,3.48,DEL_0156,Bike,1,Rainy,832.42,18,31,27,2024-07-31 09:15:00,2024-07-31 09:11:00,-4,False,On Time,3-5km,0-6 months,₹600+
ORD_000073,2024-02-04 14:45:00,Sunday,14,True,False,2,REST_0129,Jogeshwari,Desserts,Versova,13.28,DEL_0115,Scooty,23,Cloudy,1068.32,25,71,67,2024-02-04 15:56:00,2024-02-04 15:52:00,-4,False,On Time,12+km,1-2 years,₹600+
ORD_000074,2024-12-14 17:19:00,Saturday,17,True,False,12,REST_0139,Versova,Beverages,Goregaon East,6.11,DEL_0141,Scooty,34,Light rains,653.76,21,43,46,2024-12-14 18:02:00,2024-12-14 18:05:00,3,True,Slightly Delayed,5-8km,2+ years,₹600+
ORD_000075,2024-11-10 15:34:00,Sunday,15,True,False,11,REST_0044,Borivali West,Lebanese,Malad West,9.5,DEL_0291,Bike,33,Light rains,1123.99,25,58,60,2024-11-10 16:32:00,2024-11-10 16:34:00,2,True,Slightly Delayed,8-12km,2+ years,₹600+
ORD_000076,2024-03-24 20:48:00,Sunday,20,True,True,3,REST_0119,Vile Parle West,Thai,Jogeshwari,4.02,DEL_0044,Bike,2,Cloudy,536.14,15,29,42,2024-03-24 21:17:00,2024-03-24 21:30:00,13,True,Moderately Delayed,3-5km,0-6 months,₹400-600
ORD_000077,2024-06-22 06:27:00,Saturday,6,True,False,6,REST_0035,kandivali East,Mughlai,Juhu,5.91,DEL_0186,Bike,44,Rainy,534.02,29,51,45,2024-06-22 07:18:00,2024-06-22 07:12:00,-6,False,On Time,5-8km,2+ years,₹400-600
ORD_000078,2024-10-01 16:52:00,Tuesday,16,False,False,10,REST_0094,Andheri West,Beverages,Matunga,14.77,DEL_0172,Bike,49,Cloudy,658.8,15,65,54,2024-10-01 17:57:00,2024-10-01 17:46:00,-11,False,On Time,12+km,2+ years,₹600+
ORD_000079,2024-01-13 09:56:00,Saturday,9,True,False,1,REST_0122,Kalyan East,Mughlai,Mulund West,10.79,DEL_0102,Scooty,28,Cloudy,1423.69,27,65,81,2024-01-13 11:01:00,2024-01-13 11:17:00,16,True,Moderately Delayed,8-12km,2+ years,₹600+
ORD_000080,2024-02-11 12:10:00,Sunday,12,True,True,2,REST_0136,Vile Parle West,Italian,Kalyan West,9.2,DEL_0039,Scooty,19,Cloudy,615.48,18,50,57,2024-02-11 13:00:00,2024-02-11 13:07:00,7,True,Slightly Delayed,8-12km,1-2 years,₹600+
ORD_000081,2024-10-02 20:13:00,Wednesday,20,False,True,10,REST_0148,Marine lines,Lebanese,Mulund East,4.55,DEL_0049,Bike,23,Heavy rains,389.82,21,38,67,2024-10-02 20:51:00,2024-10-02 21:20:00,29,True,Severely Delayed,3-5km,1-2 years,₹200-400
ORD_000082,2024-02-08 21:19:00,Thursday,21,False,True,2,REST_0028,Vikhroli,Street foodSea food,Kalyan West,8.59,DEL_0074,Bicycle,25,Cloudy,716.19,21,51,71,2024-02-08 22:10:00,2024-02-08 22:30:00,20,True,Moderately Delayed,8-12km,2+ years,₹600+
ORD_000083,2024-07-02 20:59:00,Tuesday,20,False,True,7,REST_0092,Goregaon East,Continental,Goregaon East,1.613863132,DEL_0065,Bike,54,Rainy,1020.48,25,32,29,2024-07-02 21:31:00,2024-07-02 21:28:00,-3,False,On Time,0-3km,2+ years,₹600+
ORD_000084,2024-01-25 16:36:00,Thursday,16,False,False,1,REST_0117,Bandra East,Thai,Kalyan East,11.15,DEL_0122,Scooty,8,Cloudy,432.8,21,59,61,2024-01-25 17:35:00,2024-01-25 17:37:00,2,True,Slightly Delayed,8-12km,6-12 months,₹400-600
ORD_000085,2024-05-31 12:41:00,Friday,12,False,True,5,REST_0013,Vikhroli,South indian,Kurla West,10.16,DEL_0180,Bike,58,Cloudy,898.58,25,61,74,2024-05-31 13:42:00,2024-05-31 13:55:00,13,True,Moderately Delayed,8-12km,2+ years,₹600+
ORD_000086,2024-02-02 22:02:00,Friday,22,False,False,2,REST_0147,Bandra East,Thai,Marine lines,7.24,DEL_0049,Bike,23,Cloudy,863.58,27,53,57,2024-02-02 22:55:00,2024-02-02 22:59:00,4,True,Slightly Delayed,5-8km,1-2 years,₹600+
ORD_000087,2024-07-17 17:06:00,Wednesday,17,False,False,7,REST_0121,Colaba,Korean,Kurla East,6.71,DEL_0232,Scooty,54,Rainy,338.72,28,52,44,2024-07-17 17:58:00,2024-07-17 17:50:00,-8,False,On Time,5-8km,2+ years,₹200-400
ORD_000088,2024-08-29 17:00:00,Thursday,17,False,False,8,REST_0131,Ghatkopar West,Desserts,Mulund West,10.25,DEL_0288,Bike,34,Clear,1393.74,19,54,44,2024-08-29 17:54:00,2024-08-29 17:44:00,-10,False,On Time,8-12km,2+ years,₹600+
ORD_000089,2024-11-08 18:40:00,Friday,18,False,False,11,REST_0090,Mulund West,Beverages,Kurla West,8.44,DEL_0164,Bicycle,50,Light rains,525.25,22,52,69,2024-11-08 19:32:00,2024-11-08 19:49:00,17,True,Moderately Delayed,8-12km,2+ years,₹400-600
ORD_000090,2024-08-26 04:36:00,Monday,4,False,False,8,REST_0109,Dadar East,North indian,Lower Parel,8.58,DEL_0036,Bicycle,40,Cloudy,336.26,28,59,58,2024-08-26 05:35:00,2024-08-26 05:34:00,-1,False,On Time,8-12km,2+ years,₹200-400
ORD_000091,2024-07-25 19:10:00,Thursday,19,False,True,7,REST_0048,Worli,Lebanese,Vile Parle East,9.95,DEL_0106,Bike,46,Rainy,818.5,27,62,64,2024-07-25 20:12:00,2024-07-25 20:14:00,2,True,Slightly Delayed,8-12km,2+ years,₹600+
ORD_000092,2024-11-16 17:09:00,Saturday,17,True,False,11,REST_0060,Andheri East,Korean,Malad East,4.42,DEL_0027,Bicycle,50,Cloudy,1461.05,28,45,48,2024-11-16 17:54:00,2024-11-16 17:57:00,3,True,Slightly Delayed,3-5km,2+ years,₹600+
ORD_000093,2024-12-25 13:01:00,Wednesday,13,False,True,12,REST_0025,Juhu,Mughlai,Kalyan West,9.69,DEL_0117,Bike,55,Light rains,1388.37,27,61,76,2024-12-25 14:02:00,2024-12-25 14:17:00,15,True,Moderately Delayed,8-12km,2+ years,₹600+
ORD_000094,2024-07-14 18:02:00,Sunday,18,True,False,7,REST_0123,Mulund East,South indian,Lower Parel,11.57,DEL_0088,Bike,29,Clear,273.65,27,67,57,2024-07-14 19:09:00,2024-07-14 18:59:00,-10,False,On Time,8-12km,2+ years,₹200-400
ORD_000095,2024-04-05 05:07:00,Friday,5,False,False,4,REST_0118,Dadar West,Desserts,Khar West,3.18,DEL_0142,Bicycle,24,Cloudy,1241.47,20,32,35,2024-04-05 05:39:00,2024-04-05 05:42:00,3,True,Slightly Delayed,3-5km,1-2 years,₹600+
