order_id,order_datetime,day_of_week,hour_of_day,is_weekend,is_peak_hour,month,restaurant_id,restaurant_locality,cuisine_type,delivery_locality,distance_km,partner_id,vehicle_type,partner_experience_months,weather_condition,order_value_inr,estimated_prep_time_min,estimated_delivery_time_min,actual_delivery_time_min,estimated_delivery_datetime,actual_delivery_datetime,delay_minutes,is_delayed,delay_category
ORD_000011,04-12-2024 15:10,Wednesday,15,FALSE,FALSE,12,REST_0077,Goregaon East,Italian,Khar West,12.63,DEL_0273,Scooty,47,Rainy,444.23,26,70,70,04-12-2024 16:20,04-12-2024 16:20,0,FALSE,On Time
ORD_000012,30-09-2024 20:15,Monday,20,FALSE,TRUE,9,REST_0057,Mulund East,Street foodSea food,Ghatkopar East,9.02,DEL_0115,Scooty,23,Cloudy,412.64,16,47,55,30-09-2024 21:02,30-09-2024 21:10,8,TRUE,Slightly Delayed
ORD_000013,07-03-2024 17:24,Thursday,17,FALSE,FALSE,3,REST_0149,Juhu,North indian,Ghatkopar West,11.77,DEL_0126,Bicycle,28,Cloudy,582.86,28,69,76,07-03-2024 18:33,07-03-2024 18:40,7,TRUE,Slightly Delayed
ORD_000014,11-07-2024 12:17,Thursday,12,FALSE,TRUE,7,REST_0058,Dadar West,Desserts,Goregaon West,8.98,DEL_0251,Bike,28,Cloudy,850.77,25,57,66,11-07-2024 13:14,11-07-2024 13:23,9,TRUE,Slightly Delayed
ORD_000015,03-02-2024 12:43,Saturday,12,TRUE,TRUE,2,REST_0144,Mulund West,Japanese,Mulund East,6.16,DEL_0264,Bike,39,Clear,778.7,19,41,54,03-02-2024 13:24,03-02-2024 13:37,13,TRUE,Moderately Delayed
ORD_000016,12-08-2024 10:11,Monday,10,FALSE,FALSE,8,REST_0002,Andheri West,Korean,Powai,13.47,DEL_0123,Bike,42,Clear,886.89,28,75,72,12-08-2024 11:26,12-08-2024 11:23,-3,FALSE,On Time
ORD_000017,19-05-2024 11:41,Sunday,11,TRUE,FALSE,5,REST_0057,Mulund East,Street foodSea food,Bhayandar East,13.54,DEL_0170,Bike,51,Rainy,1082.36,16,62,55,19-05-2024 12:43,19-05-2024 12:36,-7,FALSE,On Time
ORD_000018,08-10-2024 09:04,Tuesday,9,FALSE,FALSE,10,REST_0055,Dadar West,Korean,Khar West,14.22,DEL_0122,Scooty,8,Rainy,1411.71,25,74,69,08-10-2024 10:18,08-10-2024 10:13,-5,FALSE,On Time
ORD_000019,09-04-2024 04:21,Tuesday,4,FALSE,FALSE,4,REST_0011,kandivali West,South indian,Kalyan East,14.81,DEL_0078,Scooty,42,Heavy rains,255.53,18,68,106,09-04-2024 05:29,09-04-2024 06:07,38,TRUE,Severely Delayed
ORD_000020,28-01-2024 20:18,Sunday,20,TRUE,TRUE,1,REST_0047,Bandra East,Lebanese,Santacruz,12.86,DEL_0009,Bike,14,Light rains,1050.25,19,63,72,28-01-2024 21:21,28-01-2024 21:30,9,TRUE,Slightly Delayed
ORD_000021,12-10-2024 21:00,Saturday,21,TRUE,TRUE,10,REST_0073,Colaba,Italian,Andheri West,8.21,DEL_0226,Bike,27,Light rains,269.5,23,52,74,12-10-2024 21:52,12-10-2024 22:14,22,TRUE,Severely Delayed
ORD_000022,28-07-2024 08:24,Sunday,8,TRUE,FALSE,7,REST_0124,Borivali East,Japanese,Powai,9.8,DEL_0187,Scooty,15,Rainy,1494.39,15,48,42,28-07-2024 09:12,28-07-2024 09:06,-6,FALSE,On Time
ORD_000023,01-04-2024 12:03,Monday,12,FALSE,TRUE,4,REST_0146,Matunga,Tibetan,Malad East,4.24,DEL_0229,Scooty,43,Light rains,538.54,22,38,54,01-04-2024 12:41,01-04-2024 12:57,16,TRUE,Moderately Delayed
ORD_000024,29-11-2024 14:08,Friday,14,FALSE,FALSE,11,REST_0142,Goregaon East,American,Santacruz,4.22,DEL_0226,Bike,27,Rainy,554.07,29,45,64,29-11-2024 14:53,29-11-2024 15:12,19,TRUE,Moderately Delayed
ORD_000025,12-06-2024 15:42,Wednesday,15,FALSE,FALSE,6,REST_0035,kandivali East,Mughlai,kandivali East,1.466220713,DEL_0188,Scooty,25,Cloudy,1133.92,29,36,28,12-06-2024 16:18,12-06-2024 16:10,-8,FALSE,On Time
ORD_000026,22-03-2024 10:54,Friday,10,FALSE,FALSE,3,REST_0070,Goregaon East,Italian,Vile Parle West,8.31,DEL_0021,Bike,51,Clear,535.81,19,48,38,22-03-2024 11:42,22-03-2024 11:32,-10,FALSE,On Time
ORD_000027,03-07-2024 21:50,Wednesday,21,FALSE,TRUE,7,REST_0018,Mulund West,Beverages,Malad West,13.65,DEL_0085,Bike,18,Rainy,900.03,20,67,74,03-07-2024 22:57,03-07-2024 23:04,7,TRUE,Slightly Delayed
ORD_000028,29-04-2024 12:33,Monday,12,FALSE,TRUE,4,REST_0043,Goregaon East,Asian,Borivali West,13.25,DEL_0221,Scooty,14,Heavy rains,532.27,15,60,113,29-04-2024 13:33,29-04-2024 14:26,53,TRUE,Severely Delayed
ORD_000029,31-12-2024 14:52,Tuesday,14,FALSE,FALSE,12,REST_0068,Marine lines,Japanese,Kurla West,8.36,DEL_0222,Scooty,2,Cloudy,288.86,24,53,50,31-12-2024 15:45,31-12-2024 15:42,-3,FALSE,On Time
ORD_000030,28-03-2024 19:39,Thursday,19,FALSE,TRUE,3,REST_0103,Bhayandar East,Asian,Borivali East,10.11,DEL_0214,Scooty,16,Light rains,1491.86,21,56,64,28-03-2024 20:35,28-03-2024 20:43,8,TRUE,Slightly Delayed
ORD_000031,05-11-2024 18:21,Tuesday,18,FALSE,FALSE,11,REST_0077,Goregaon East,Italian,Malad East,11.55,DEL_0031,Bicycle,38,Light rains,309.29,26,66,86,05-11-2024 19:27,05-11-2024 19:47,20,TRUE,Moderately Delayed
ORD_000032,07-07-2024 16:58,Sunday,16,TRUE,FALSE,7,REST_0123,Mulund East,South indian,CSMT,8.39,DEL_0221,Scooty,14,Light rains,852.03,27,57,68,07-07-2024 17:55,07-07-2024 18:06,11,TRUE,Moderately Delayed
ORD_000033,08-07-2024 11:21,Monday,11,FALSE,FALSE,7,REST_0142,Goregaon East,American,Powai,9.53,DEL_0117,Bike,55,Heavy rains,1235.1,29,63,95,08-07-2024 12:24,08-07-2024 12:56,32,TRUE,Severely Delayed
ORD_000034,25-01-2024 17:54,Thursday,17,FALSE,FALSE,1,REST_0100,Andheri East,Mughlai,Andheri East,1.020335066,DEL_0249,Bike,15,Light rains,1112.17,18,23,24,25-01-2024 18:17,25-01-2024 18:18,1,TRUE,Slightly Delayed
ORD_000035,11-02-2024 13:52,Sunday,13,TRUE,TRUE,2,REST_0056,Andheri East,Italian,Matunga,9.95,DEL_0135,Bicycle,21,Cloudy,590.06,23,58,72,11-02-2024 14:50,11-02-2024 15:04,14,TRUE,Moderately Delayed
ORD_000036,27-09-2024 21:35,Friday,21,FALSE,TRUE,9,REST_0141,Mulund West,Tibetan,Mulund East,12.98,DEL_0066,Bike,22,Rainy,219.49,24,69,81,27-09-2024 22:44,27-09-2024 22:56,12,TRUE,Moderately Delayed
ORD_000037,23-08-2024 22:34,Friday,22,FALSE,FALSE,8,REST_0050,Malad West,South indian,Borivali West,13.05,DEL_0296,Scooty,55,Light rains,501.73,17,61,63,23-08-2024 23:35,23-08-2024 23:37,2,TRUE,Slightly Delayed
ORD_000038,12-09-2024 18:28,Thursday,18,FALSE,FALSE,9,REST_0062,Vile Parle East,Italian,Colaba,4.99,DEL_0023,Scooty,45,Rainy,1153.5,18,36,30,12-09-2024 19:04,12-09-2024 18:58,-6,FALSE,On Time
ORD_000039,10-05-2024 15:00,Friday,15,FALSE,FALSE,5,REST_0141,Mulund West,Tibetan,Mulund East,10.31,DEL_0094,Bicycle,26,Cloudy,857.83,24,60,76,10-05-2024 16:00,10-05-2024 16:16,16,TRUE,Moderately Delayed
ORD_000040,10-02-2024 19:53,Saturday,19,TRUE,TRUE,2,REST_0088,Mulund West,Tibetan,Kurla West,11.76,DEL_0081,Scooty,56,Cloudy,517.88,23,64,73,10-02-2024 20:57,10-02-2024 21:06,9,TRUE,Slightly Delayed
ORD_000041,29-04-2024 04:48,Monday,4,FALSE,FALSE,4,REST_0083,Vikhroli,Beverages,kandivali East,9.58,DEL_0222,Scooty,2,Cloudy,604.88,26,60,55,29-04-2024 05:48,29-04-2024 05:43,-5,FALSE,On Time
ORD_000042,28-10-2024 12:50,Monday,12,FALSE,TRUE,10,REST_0126,kandivali East,North indian,Vile Parle East,3.51,DEL_0162,Scooty,17,Rainy,653.81,29,43,39,28-10-2024 13:33,28-10-2024 13:29,-4,FALSE,On Time
ORD_000043,09-01-2024 19:59,Tuesday,19,FALSE,TRUE,1,REST_0077,Goregaon East,Italian,Dadar East,12.99,DEL_0156,Bike,1,Rainy,1038.62,26,71,94,09-01-2024 21:10,09-01-2024 21:33,23,TRUE,Severely Delayed
ORD_000044,06-05-2024 12:00,Monday,12,FALSE,TRUE,5,REST_0150,Powai,North indian,Borivali East,11.08,DEL_0131,Bicycle,55,Cloudy,1229.97,22,60,80,06-05-2024 13:00,06-05-2024 13:20,20,TRUE,Moderately Delayed
ORD_000045,19-04-2024 05:49,Friday,5,FALSE,FALSE,4,REST_0079,Vile Parle West,Chinese,Matunga,12.1,DEL_0285,Scooty,29,Light rains,828.17,29,71,67,19-04-2024 07:00,19-04-2024 06:56,-4,FALSE,On Time
ORD_000046,24-02-2024 13:46,Saturday,13,TRUE,TRUE,2,REST_0132,Goregaon East,Thai,Ghatkopar East,3.38,DEL_0084,Bike,31,Rainy,727.19,24,37,31,24-02-2024 14:23,24-02-2024 14:17,-6,FALSE,On Time
ORD_000047,10-03-2024 20:01,Sunday,20,TRUE,TRUE,3,REST_0146,Matunga,Tibetan,Marine lines,7.58,DEL_0074,Bicycle,25,Rainy,1291.2,22,49,76,10-03-2024 20:50,10-03-2024 21:17,27,TRUE,Severely Delayed
ORD_000048,18-07-2024 17:38,Thursday,17,FALSE,FALSE,7,REST_0031,Andheri East,Asian,Andheri East,0.637586864,DEL_0209,Bicycle,44,Rainy,871.67,23,27,21,18-07-2024 18:05,18-07-2024 17:59,-6,FALSE,On Time
ORD_000049,29-01-2024 12:28,Monday,12,FALSE,TRUE,1,REST_0015,Juhu,Italian,Andheri West,3.75,DEL_0254,Bike,50,Light rains,1228.32,27,42,52,29-01-2024 13:10,29-01-2024 13:20,10,TRUE,Slightly Delayed
ORD_000050,19-10-2024 13:12,Saturday,13,TRUE,TRUE,10,REST_0018,Mulund West,Beverages,Ghatkopar East,5.46,DEL_0192,Bike,15,Cloudy,739.3,20,40,49,19-10-2024 13:52,19-10-2024 14:01,9,TRUE,Slightly Delayed
ORD_000051,04-12-2024 22:37,Wednesday,22,FALSE,FALSE,12,REST_0046,Kalyan West,Korean,kandivali East,4.25,DEL_0065,Bike,54,Heavy rains,1119.27,25,41,53,04-12-2024 23:18,04-12-2024 23:30,12,TRUE,Moderately Delayed
ORD_000052,04-02-2024 21:01,Sunday,21,TRUE,TRUE,2,REST_0108,Lower Parel,Beverages,Borivali West,9.64,DEL_0192,Bike,15,Cloudy,296.08,21,54,60,04-02-2024 21:55,04-02-2024 22:01,6,TRUE,Slightly Delayed
ORD_000053,26-09-2024 21:15,Thursday,21,FALSE,TRUE,9,REST_0101,Ghatkopar West,Korean,Khar West,5.38,DEL_0009,Bike,14,Cloudy,687.94,24,44,46,26-09-2024 21:59,26-09-2024 22:01,2,TRUE,Slightly Delayed
ORD_000054,11-10-2024 17:53,Friday,17,FALSE,FALSE,10,REST_0041,Bhayandar East,South indian,Worli,5.74,DEL_0234,Scooty,58,Rainy,1234.82,16,36,29,11-10-2024 18:29,11-10-2024 18:22,-7,FALSE,On Time
ORD_000055,01-12-2024 07:51,Sunday,7,TRUE,FALSE,12,REST_0027,Vikhroli,Lebanese,kandivali West,11.94,DEL_0208,Scooty,31,Cloudy,498.81,17,58,48,01-12-2024 08:49,01-12-2024 08:39,-10,FALSE,On Time
ORD_000056,15-02-2024 20:51,Thursday,20,FALSE,TRUE,2,REST_0093,Marine lines,North indian,Juhu,9.71,DEL_0176,Bike,29,Light rains,947.79,18,51,78,15-02-2024 21:42,15-02-2024 22:09,27,TRUE,Severely Delayed
ORD_000057,22-05-2024 09:27,Wednesday,9,FALSE,FALSE,5,REST_0032,Bhayandar West,Mughlai,Vile Parle East,7.71,DEL_0270,Bike,12,Cloudy,1293.39,15,41,33,22-05-2024 10:08,22-05-2024 10:00,-8,FALSE,On Time
ORD_000058,18-02-2024 12:49,Sunday,12,TRUE,TRUE,2,REST_0017,Marine lines,Italian,CSMT,8.87,DEL_0030,Scooty,57,Heavy rains,255.73,28,60,98,18-02-2024 13:49,18-02-2024 14:27,38,TRUE,Severely Delayed
ORD_000059,02-12-2024 04:21,Monday,4,FALSE,FALSE,12,REST_0138,Bandra East,North indian,Malad East,6.12,DEL_0151,Scooty,33,Light rains,466.22,17,38,36,02-12-2024 04:59,02-12-2024 04:57,-2,FALSE,On Time
ORD_000060,19-11-2024 17:11,Tuesday,17,FALSE,FALSE,11,REST_0135,Mulund West,Thai,Ghatkopar West,14.93,DEL_0239,Scooty,29,Cloudy,1336.48,16,66,63,19-11-2024 18:17,19-11-2024 18:14,-3,FALSE,On Time
ORD_000061,25-06-2024 15:05,Tuesday,15,FALSE,FALSE,6,REST_0004,Mulund East,American,Worli,12.22,DEL_0038,Bike,20,Cloudy,203.95,19,61,51,25-06-2024 16:06,25-06-2024 15:56,-10,FALSE,On Time
ORD_000062,01-05-2024 10:55,Wednesday,10,FALSE,FALSE,5,REST_0124,Borivali East,Japanese,Marine lines,5.97,DEL_0120,Bicycle,14,Light rains,983,15,36,64,01-05-2024 11:31,01-05-2024 11:59,28,TRUE,Severely Delayed
ORD_000063,03-02-2024 16:43,Saturday,16,TRUE,FALSE,2,REST_0086,Marine lines,Street foodSea food,Malad East,11.12,DEL_0262,Bike,45,Light rains,814.02,20,58,54,03-02-2024 17:41,03-02-2024 17:37,-4,FALSE,On Time
ORD_000064,15-03-2024 10:38,Friday,10,FALSE,FALSE,3,REST_0021,Bandra West,Lebanese,Kurla East,4.6,DEL_0061,Scooty,13,Rainy,748.05,26,43,35,15-03-2024 11:21,15-03-2024 11:13,-8,FALSE,On Time
ORD_000065,04-03-2024 19:00,Monday,19,FALSE,TRUE,3,REST_0035,kandivali East,Mughlai,Borivali West,3.43,DEL_0253,Bike,52,Light rains,468.97,29,43,52,04-03-2024 19:43,04-03-2024 19:52,9,TRUE,Slightly Delayed
ORD_000066,16-10-2024 03:00,Wednesday,3,FALSE,FALSE,10,REST_0126,kandivali East,North indian,Borivali East,7.92,DEL_0278,Bicycle,54,Cloudy,661.25,29,58,73,16-10-2024 03:58,16-10-2024 04:13,15,TRUE,Moderately Delayed
ORD_000067,07-06-2024 20:58,Friday,20,FALSE,TRUE,6,REST_0104,Matunga,Thai,Mulund West,13.13,DEL_0163,Bike,29,Clear,482.12,19,64,81,07-06-2024 22:02,07-06-2024 22:19,17,TRUE,Moderately Delayed
ORD_000068,19-06-2024 19:09,Wednesday,19,FALSE,TRUE,6,REST_0130,Marine lines,Tibetan,Worli,6.31,DEL_0093,Bike,16,Rainy,437.46,19,41,52,19-06-2024 19:50,19-06-2024 20:01,11,TRUE,Moderately Delayed
ORD_000069,02-11-2024 07:20,Saturday,7,TRUE,FALSE,11,REST_0137,Kalyan East,Beverages,Borivali East,10.45,DEL_0176,Bike,29,Cloudy,1157.12,27,64,53,02-11-2024 08:24,02-11-2024 08:13,-11,FALSE,On Time
ORD_000070,18-05-2024 13:25,Saturday,13,TRUE,TRUE,5,REST_0035,kandivali East,Mughlai,Marine lines,13.01,DEL_0189,Bike,56,Light rains,762.99,29,74,106,18-05-2024 14:39,18-05-2024 15:11,32,TRUE,Severely Delayed
ORD_000071,24-09-2024 14:17,Tuesday,14,FALSE,FALSE,9,REST_0097,Bhayandar East,American,Malad East,4.83,DEL_0299,Scooty,53,Light rains,1073.02,17,34,41,24-09-2024 14:51,24-09-2024 14:58,7,TRUE,Slightly Delayed
ORD_000072,31-07-2024 08:44,Wednesday,8,FALSE,FALSE,7,REST_0006,Vile Parle East,Asian,Goregaon West,3.48,DEL_0156,Bike,1,Rainy,832.42,18,31,27,31-07-2024 09:15,31-07-2024 09:11,-4,FALSE,On Time
ORD_000073,04-02-2024 14:45,Sunday,14,TRUE,FALSE,2,REST_0129,Jogeshwari,Desserts,Versova,13.28,DEL_0115,Scooty,23,Cloudy,1068.32,25,71,67,04-02-2024 15:56,04-02-2024 15:52,-4,FALSE,On Time
ORD_000074,14-12-2024 17:19,Saturday,17,TRUE,FALSE,12,REST_0139,Versova,Beverages,Goregaon East,6.11,DEL_0141,Scooty,34,Light rains,653.76,21,43,46,14-12-2024 18:02,14-12-2024 18:05,3,TRUE,Slightly Delayed
ORD_000075,10-11-2024 15:34,Sunday,15,TRUE,FALSE,11,REST_0044,Borivali West,Lebanese,Malad West,9.5,DEL_0291,Bike,33,Light rains,1123.99,25,58,60,10-11-2024 16:32,10-11-2024 16:34,2,TRUE,Slightly Delayed
ORD_000076,24-03-2024 20:48,Sunday,20,TRUE,TRUE,3,REST_0119,Vile Parle West,Thai,Jogeshwari,4.02,DEL_0044,Bike,2,Cloudy,536.14,15,29,42,24-03-2024 21:17,24-03-2024 21:30,13,TRUE,Moderately Delayed
ORD_000077,22-06-2024 06:27,Saturday,6,TRUE,FALSE,6,REST_0035,kandivali East,Mughlai,Juhu,5.91,DEL_0186,Bike,44,Rainy,534.02,29,51,45,22-06-2024 07:18,22-06-2024 07:12,-6,FALSE,On Time
ORD_000078,01-10-2024 16:52,Tuesday,16,FALSE,FALSE,10,REST_0094,Andheri West,Beverages,Matunga,14.77,DEL_0172,Bike,49,Cloudy,658.8,15,65,54,01-10-2024 17:57,01-10-2024 17:46,-11,FALSE,On Time
ORD_000079,13-01-2024 09:56,Saturday,9,TRUE,FALSE,1,REST_0122,Kalyan East,Mughlai,Mulund West,10.79,DEL_0102,Scooty,28,Cloudy,1423.69,27,65,81,13-01-2024 11:01,13-01-2024 11:17,16,TRUE,Moderately Delayed
ORD_000080,11-02-2024 12:10,Sunday,12,TRUE,TRUE,2,REST_0136,Vile Parle West,Italian,Kalyan West,9.2,DEL_0039,Scooty,19,Cloudy,615.48,18,50,57,11-02-2024 13:00,11-02-2024 13:07,7,TRUE,Slightly Delayed
ORD_000081,02-10-2024 20:13,Wednesday,20,FALSE,TRUE,10,REST_0148,Marine lines,Lebanese,Mulund East,4.55,DEL_0049,Bike,23,Heavy rains,389.82,21,38,67,02-10-2024 20:51,02-10-2024 21:20,29,TRUE,Severely Delayed
ORD_000082,08-02-2024 21:19,Thursday,21,FALSE,TRUE,2,REST_0028,Vikhroli,Street foodSea food,Kalyan West,8.59,DEL_0074,Bicycle,25,Cloudy,716.19,21,51,71,08-02-2024 22:10,08-02-2024 22:30,20,TRUE,Moderately Delayed
ORD_000083,02-07-2024 20:59,Tuesday,20,FALSE,TRUE,7,REST_0092,Goregaon East,Continental,Goregaon East,1.613863132,DEL_0065,Bike,54,Rainy,1020.48,25,32,29,02-07-2024 21:31,02-07-2024 21:28,-3,FALSE,On Time
ORD_000084,25-01-2024 16:36,Thursday,16,FALSE,FALSE,1,REST_0117,Bandra East,Thai,Kalyan East,11.15,DEL_0122,Scooty,8,Cloudy,432.8,21,59,61,25-01-2024 17:35,25-01-2024 17:37,2,TRUE,Slightly Delayed
ORD_000085,31-05-2024 12:41,Friday,12,FALSE,TRUE,5,REST_0013,Vikhroli,South indian,Kurla West,10.16,DEL_0180,Bike,58,Cloudy,898.58,25,61,74,31-05-2024 13:42,31-05-2024 13:55,13,TRUE,Moderately Delayed
ORD_000086,02-02-2024 22:02,Friday,22,FALSE,FALSE,2,REST_0147,Bandra East,Thai,Marine lines,7.24,DEL_0049,Bike,23,Cloudy,863.58,27,53,57,02-02-2024 22:55,02-02-2024 22:59,4,TRUE,Slightly Delayed
ORD_000087,17-07-2024 17:06,Wednesday,17,FALSE,FALSE,7,REST_0121,Colaba,Korean,Kurla East,6.71,DEL_0232,Scooty,54,Rainy,338.72,28,52,44,17-07-2024 17:58,17-07-2024 17:50,-8,FALSE,On Time
ORD_000088,29-08-2024 17:00,Thursday,17,FALSE,FALSE,8,REST_0131,Ghatkopar West,Desserts,Mulund West,10.25,DEL_0288,Bike,34,Clear,1393.74,19,54,44,29-08-2024 17:54,29-08-2024 17:44,-10,FALSE,On Time
ORD_000089,08-11-2024 18:40,Friday,18,FALSE,FALSE,11,REST_0090,Mulund West,Beverages,Kurla West,8.44,DEL_0164,Bicycle,50,Light rains,525.25,22,52,69,08-11-2024 19:32,08-11-2024 19:49,17,TRUE,Moderately Delayed
ORD_000090,26-08-2024 04:36,Monday,4,FALSE,FALSE,8,REST_0109,Dadar East,North indian,Lower Parel,8.58,DEL_0036,Bicycle,40,Cloudy,336.26,28,59,58,26-08-2024 05:35,26-08-2024 05:34,-1,FALSE,On Time
ORD_000091,25-07-2024 19:10,Thursday,19,FALSE,TRUE,7,REST_0048,Worli,Lebanese,Vile Parle East,9.95,DEL_0106,Bike,46,Rainy,818.5,27,62,64,25-07-2024 20:12,25-07-2024 20:14,2,TRUE,Slightly Delayed
ORD_000092,16-11-2024 17:09,Saturday,17,TRUE,FALSE,11,REST_0060,Andheri East,Korean,Malad East,4.42,DEL_0027,Bicycle,50,Cloudy,1461.05,28,45,48,16-11-2024 17:54,16-11-2024 17:57,3,TRUE,Slightly Delayed
ORD_000093,25-12-2024 13:01,Wednesday,13,FALSE,TRUE,12,REST_0025,Juhu,Mughlai,Kalyan West,9.69,DEL_0117,Bike,55,Light rains,1388.37,27,61,76,25-12-2024 14:02,25-12-2024 14:17,15,TRUE,Moderately Delayed
ORD_000094,14-07-2024 18:02,Sunday,18,TRUE,FALSE,7,REST_0123,Mulund East,South indian,Lower Parel,11.57,DEL_0088,Bike,29,Clear,273.65,27,67,57,14-07-2024 19:09,14-07-2024 18:59,-10,FALSE,On Time
ORD_000095,05-04-2024 05:07,Friday,5,FALSE,FALSE,4,REST_0118,Dadar West,Desserts,Khar West,3.18,DEL_0142,Bicycle,24,Cloudy,1241.47,20,32,35,05-04-2024 05:39,05-04-2024 05:42,3,TRUE,Slightly Delayed
ORD_000096,14-10-2024 11:44,Monday,11,FALSE,FALSE,10,REST_0107,Versova,Italian,Kalyan West,12.27,DEL_0212,Bike,51,Cloudy,995.07,18,60,69,14-10-2024 12:44,14-10-2024 12:53,9,TRUE,Slightly Delayed
ORD_000097,01-09-2024 19:44,Sunday,19,TRUE,TRUE,9,REST_0112,Borivali East,Chinese,Kalyan West,7.03,DEL_0213,Scooty,39,Heavy rains,1219.92,18,42,69,01-09-2024 20:26,01-09-2024 20:53,27,TRUE,Severely Delayed
ORD_000098,22-05-2024 16:38,Wednesday,16,FALSE,FALSE,5,REST_0037,Versova,Beverages,Goregaon West,14.61,DEL_0026,Bike,48,Light rains,965.58,17,66,62,22-05-2024 17:44,22-05-2024 17:40,-4,FALSE,On Time
ORD_000099,03-09-2024 21:26,Tuesday,21,FALSE,TRUE,9,REST_0021,Bandra West,Lebanese,Kurla East,10.02,DEL_0119,Bike,21,Rainy,640.47,26,61,78,03-09-2024 22:27,03-09-2024 22:44,17,TRUE,Moderately Delayed
ORD_000100,17-07-2024 20:20,Wednesday,20,FALSE,TRUE,7,REST_0007,Santacruz,Japanese,Bhayandar East,6.87,DEL_0107,Bicycle,33,Light rains,430.5,19,43,63,17-07-2024 21:03,17-07-2024 21:23,20,TRUE,Moderately Delayed
ORD_000101,14-10-2024 18:35,Monday,18,FALSE,FALSE,10,REST_0035,kandivali East,Mughlai,Colaba,14.08,DEL_0112,Bike,8,Light rains,1182.47,29,78,80,14-10-2024 19:53,14-10-2024 19:55,2,TRUE,Slightly Delayed
ORD_000102,20-11-2024 21:27,Wednesday,21,FALSE,TRUE,11,REST_0015,Juhu,Italian,Worli,10.49,DEL_0046,Bicycle,23,Rainy,1470.91,27,64,97,20-11-2024 22:31,20-11-2024 23:04,33,TRUE,Severely Delayed
ORD_000103,02-06-2024 13:49,Sunday,13,TRUE,TRUE,6,REST_0119,Vile Parle West,Thai,Powai,4.16,DEL_0100,Bike,5,Cloudy,1251.27,15,30,37,02-06-2024 14:19,02-06-2024 14:26,7,TRUE,Slightly Delayed
ORD_000104,06-03-2024 20:39,Wednesday,20,FALSE,TRUE,3,REST_0150,Powai,North indian,Mulund East,8.14,DEL_0266,Bicycle,27,Heavy rains,1020.96,22,51,92,06-03-2024 21:30,06-03-2024 22:11,41,TRUE,Severely Delayed
